id,source_ip,dur,spkts,sbytes,sttl,swin,stcpb,dtcpb,rate,pps,ttl_ratio,tcp_diff,swin_interaction,label
48,10.0.0.5,1738340033.009902,1,942,64,83,783403003,1671092121,5.418962815744083e-07,5.752614454080767e-10,3.681673250611691e-08,887689118.0,65022449249.0,0
49,10.0.0.2,1738340033.009933,1,811,64,85,1671092121,783403012,4.665370322259419e-07,5.752614454080665e-10,3.6816732506116253e-08,-887689109.0,142042830285.0,0
50,10.0.0.2,1738340033.010234,1,896,64,85,1671092121,783403012,5.154342550855383e-07,5.752614454079668e-10,3.6816732506109874e-08,-887689109.0,142042830285.0,0
51,10.0.0.2,1738340033.010346,1,853,64,85,1671092239,783403012,4.906980129329641e-07,5.752614454079298e-10,3.6816732506107505e-08,-887689227.0,142042840315.0,0
52,10.0.0.5,1738340033.010459,1,898,64,83,783403012,1671092239,5.165847779762874e-07,5.752614454078924e-10,3.6816732506105116e-08,887689227.0,65022449996.0,0
53,10.0.0.5,1738340033.012198,1,868,64,83,783403012,1671092278,4.993269346135511e-07,5.752614454073169e-10,3.6816732506068283e-08,887689266.0,65022449996.0,0
54,10.0.0.2,1738340033.012243,1,924,64,85,1671092278,783403013,5.315415755563471e-07,5.75261445407302e-10,3.681673250606733e-08,-887689265.0,142042843630.0,0
55,10.0.0.5,1738340034.145905,1,970,64,42340,39934462,0,5.580036016811798e-07,5.752614450321441e-10,3.681673248205722e-08,-39934462.0,1690825121080.0,0
56,10.0.0.3,1738340034.146069,1,779,64,43440,3949133688,39934463,4.4812866567999795e-07,5.752614450320898e-10,3.681673248205375e-08,-3909199225.0,171550367406720.0,0
57,10.0.0.5,1738340034.146130,1,876,64,83,39934463,3949133689,5.03929025848093e-07,5.752614450320695e-10,3.681673248205245e-08,3909199226.0,3314560429.0,0
58,10.0.0.5,1738340034.146680,1,997,64,83,39934463,3949133689,5.735356606967919e-07,5.752614450318876e-10,3.6816732482040804e-08,3909199226.0,3314560429.0,0
59,10.0.0.3,1738340034.146770,1,824,64,85,3949133689,39934603,4.740154307062509e-07,5.752614450318578e-10,3.68167324820389e-08,-3909199086.0,335676363565.0,0
60,10.0.0.3,1738340034.147653,1,902,64,85,3949133689,39934603,5.188858234184721e-07,5.752614450315656e-10,3.68167324820202e-08,-3909199086.0,335676363565.0,0
61,10.0.0.3,1738340034.147763,1,951,64,85,3949133807,39934603,5.470736342249843e-07,5.752614450315292e-10,3.681673248201787e-08,-3909199204.0,335676373595.0,0
62,10.0.0.5,1738340034.147889,1,809,64,83,39934603,3949133807,4.6538650903047344e-07,5.752614450314875e-10,3.68167324820152e-08,3909199204.0,3314572049.0,0
63,10.0.0.5,1738340034.149444,1,790,64,83,39934603,3949133808,4.544565415744686e-07,5.752614450309729e-10,3.6816732481982266e-08,3909199205.0,3314572049.0,0
64,10.0.0.3,1738340034.149492,1,785,64,85,3949133808,39934604,4.5158023434930127e-07,5.752614450309571e-10,3.6816732481981254e-08,-3909199204.0,335676373680.0,0
65,10.0.0.5,1738340034.176525,1,931,64,42340,3153188282,0,5.355684053154923e-07,5.752614450220111e-10,3.681673248140871e-08,-3153188282.0,133505991859880.0,0
